Database,Project ID,PMID,Title,Total Samples,preCancer,Case Cancer Untreated,Case Cancer Treated,Control Healthy,Healthy Treated,Patients / donors,Tissue Cell Type Detailed,Sample Type,Tissue,Organ,Tumor Type,Cell Line Name,Cell Line Cancer;Normal,Cell Line Organ,Tumor type for cell lines,Tissue for cell lines,Disease,Disease Subtype,Experimental Design,Short Description,Platform MS (Unified),TMT Label (Unified),Proteins Quantified,TMT Channels Used,TMT Channels Comparison,TMT Additional Channels,Samples Original N,Samples Used N,Normalization Strategy,Z-Score Level,Z-Score Scope,FASTA (Unified),FASTA Year,Modifications,FDR (Unified %),Result Files,URL,Main_Finding,Data_Caveats,Quantification_Format
IProX,IPX0002532001 (PXD022714),34129943,Age-Associated Proteomic Signatures and Potential Clinically Actionable Targets of Colorectal Cancer,100,,50.0,,50,,50,Paired Colorectal Cancer (CRC) tumor tissues and adjacent non-cancerous tissues,Tissue,Colorectal tumor and adjacent normal tissue,Colon,Colorectal carcinoma,,,,,,Colorectal Cancer,Age-stratified CRC,Paired tumor (T) vs adjacent noncancerous tissue (N); 12 TMT 10-plex batches; age-group comparison (young/middle/old),TMT 10-plex quantitative proteomic profiling of 50 paired CRC tumor/adjacent tissues to identify age-associated proteomic signatures,Q Exactive Plus,TMT 10-plex,10288.0,2,,,,,Within-batch total intensity normalization; T/N ratio calculation (adjusted protein intensities),,,UniProt,2017.0,Fixed: Carbamidomethyl (C). Variable: Oxidation (M); Acetylation (Protein N-term),0.01,result_IPX0002532001.xlsx,https://www.iprox.cn/page/project.html?id=IPX0002532000,Age-associated enhancement of MYC/E2F/G2M signatures; NHP2 identified as age-linked prognostic protein,,Not specified
IProX,IPX0004253000,35906682,Proteotranscriptomics of ocular adnexal B-cell lymphoma reveals an oncogenic role of alternative splicing and identifies a diagnostic marker,65,15.0,39.0,,11,,65,Ocular adnexal B-cell lymphoma tissue specimens; idiopathic orbital inflammation (IOI); reactive lymphoid hyperplasia (RLH); normal orbital tissue from aesthetic orbital surgery,Tissue,Ocular adnexal lymphoid tissue,Orbit,Lymphoma,,,,,,Ocular adnexal B-cell lymphoma,Extranodal marginal zone B-cell lymphoma (EMZL); Diffuse large B-cell lymphoma (DLBCL); Mantle cell lymphoma (MCL); Small lymphocytic lymphoma (SLL),"Case–control, Multi-omics (Proteome/Transcriptome), TMT batch (TMTpro)",This proteotranscriptomic study compared 40 OABLs with 31 controls (inflammation/normal tissue) using TMTpro/MS to reveal high protein-mRNA concordance associated with recurrence and identified alternative splicing regulation and DNAJC9 as a diagnostic marker for EMZL.,Q Exactive,TMTpro 16-plex,6000.0,No Sample ID Diagnosis Tissue Description 1 C.N.1 Normal Orbit Normal orbital tissue from cosmetic surgery 2 C.N.9 Normal Orbit Normal orbital tissue 3 C.N.3 Normal Orbit Normal orbital tissue 4 C.N.2 Normal Orbit Normal orbital tissue 5 C.N.16 Normal Orbit Normal orbital tissue 6 C.N.5 Normal Orbit Normal orbital tissue 7 C.N.12 Normal Orbit Normal orbital tissue 8 C.N.10 Normal Orbit Normal orbital tissue 9 C.N.11 Normal Orbit Normal orbital tissue 10 C.N.13 Normal Orbit Normal orbital tissue 11 C.N.14 Normal Orbit Normal orbital tissue 1 L.M.17 EMZL (MALT lymphoma) 2 L.DB.1 DLBCL non-GCB 3 L.MCL.1 Mantle cell lymphoma 4 L.SLL.1 CLL/SLL 5 L.M.13 EMZL 6 L.M.20 EMZL 7 L.M.11 EMZL 8 L.DB.2 DLBCL non-GCB 9 L.MCL.2 Mantle cell lymphoma 10 L.M.12 EMZL 11 L.M.23 EMZL 12 L.SLL.2 CLL/SLL 13 L.M.15 EMZL 14 L.DB.3 DLBCL non-GCB 15 L.M.4 EMZL 16 L.M.16 EMZL 17 L.M.18 EMZL 18 L.M.19 EMZL 19 L.M.1 EMZL 20 L.M.2 EMZL 21 L.DB.4 DLBCL GCB 22 L.M.14 EMZL 23 L.DB.7 DLBCL non-GCB 24 L.M.21 EMZL 25 L.M.27 EMZL 26 L.M.24 EMZL 27 L.M.22 EMZL 28 L.M.26 EMZL 29 L.M.25 EMZL 30 L.M.3 EMZL 31 L.M.6 EMZL 32 L.M.8 EMZL 33 L.M.7 EMZL 34 L.M.29 EMZL 35 L.M.28 EMZL 36 L.DB.5 DLBCL non-GCB 37 L.M.30 EMZL 38 L.DB.8 DLBCL non-GCB 39 L.DB.6 DLBCL non-GCB,,Other controls (benign / inflammatory) No Sample ID Diagnosis Description 1 C.IOI.1 IOI Idiopathic orbital inflammation 2 C.IOI.12 IOI Idiopathic orbital inflammation 3 C.IOI.10 IOI Idiopathic orbital inflammation 4 C.IOI.6 IOI Idiopathic orbital inflammation 5 C.IOI.2 IOI Idiopathic orbital inflammation 6 C.IOI.7 IOI Idiopathic orbital inflammation 7 C.IOI.3 IOI Idiopathic orbital inflammation 8 C.IOI.8 IOI Idiopathic orbital inflammation 9 C.IOI.9 IOI Idiopathic orbital inflammation 10 C.LP.1 RLH Reactive lymphoid hyperplasia 11 C.LP.5 RLH Reactive lymphoid hyperplasia 12 C.LP.3 RLH Reactive lymphoid hyperplasia 13 C.LP.2 RLH Reactive lymphoid hyperplasia 14 C.LP.4 RLH Reactive lymphoid hyperplasia 15 C.LP.6 RLH Reactive lymphoid hyperplasia,71.0,65,"Not explicitly stated; low-abundance proteins removed, proteins missing >20% removed, KNN imputation for <20% missing, limma normalization",,,RefSeq,,Fixed: Carbamidomethyl (C); Variable: Oxidation (M); Acetyl (Protein N-term),0.01,result_IPX0004253000.xlsx,https://www.iprox.cn/page/subproject.html?id=IPX0004253001,High protein-mRNA concordance in OABL recurrence; alternative splicing dysregulated; ADAR is core splicing regulator; DNAJC9 diagnostic biomarker,6 samples excluded due to plasma protein contamination; normalization strategy not explicit; TMT scheme not detailed,Not specified
CLLE,MSV000085836,31978347,Quantitative Proteomics of the Cancer Cell Line Encyclopedia,375,,375.0,0.0,0,,0,22 lineages: Lung (77); Haematopoietic and Lymphoid (40); Skin (33); Large Intestine (32); Breast (31); Pancreas (20); Ovary (17); Central Nervous System (14); Endometrium (14); Liver (14); Oesophagus (14); Stomach (14); Urinary Tract (14); Upper Aerodigestive (14); Kidney (14); Bone; Soft Tissue; Prostate; Pleura; Thyroid; Autonomic Ganglia; Biliary Tract,Cell Lines,Cancer cell line panel,Multiple organs (22 types),Cancer,CAL-33; Hs578t; SW837; WM-266-4; CAL-51; CA46; HEL; NCI-H1581; NCI-H82; SW-480; MDA-MB-468; SH-4; AU565; KMRC-1; CAL-51; RPMI-7951; RERF-LC-MS; IGR-37; VMRC-RCW; Hep 3B2.1-7; Hep G2; SK-HEP-1; WM-266-4; KMRC-20; Hs 294T; Caov-3; CAL-120; JMSU-1; PA-TU-8988T; JIMT-1; COV362; KPL-1; A-375; A2058; SW620; MDST8; huH-1; HCT 116; HLF; HT-29; ABC-1; CAMA-1; RKO; HT115; JHH-5; SK-MEL-3; PC-14; EBC-1; SK-MEL-2; MeWo; Hs 944.T; JHH-7; RVH-421; A-498; Hs 695T; NCI-H358; HT-1197; HuH-7; HGC-27; DMS-273; NCI-H1299; SK-MEL-28; Caki-2; HT55; NCI-H1048; HSC-3; SW403; BT-549; HCC-56; CAL-85-1; MDA-MB-157; SW48; IGR-39; MCF7; BICR 6; WM1799; IPC-298; NCI-H1693; HCC 1954; TYK-nu; DMS 114; TE-1; TCC-PAN2; LUDLU-1; MEL-JUSO; T-47D; LS411N; PC-3; KYSE-450; RT-112; LS513; HCC827; NCI-H2110; MIA PaCa-2; NCI-H520; SW-480; OE33; ZR-75-1; COLO-679; 786-O; HCC38; QGP-1; HCC-95; SW948; LK-2; OVCAR-4; COLO 741; NCI-H1650; UACC-257; NCIH1573; A549; SU8686; TE14; NCIH2170; HCC1500; MDA-MB-436; DV90; SNU61; SBC-5; HT-1376; CFPAC-1; NCIH3255; NCIH1975; COLO678; SNU119; CORL105; HCC70; HCC 1806; COLO-320; NCI-H1581; NCI-H1792; NCI-H2066; Sq-1; A2780; MKN1; BICR22; HCC1395; SW1417; NCI-H1435; CNI-H1568; NCI-H1944; NCI-H441; KURAMOCHI; KATO III; U-BLC1; AGS; HCC1143; NCI-H1666; NCI-H2291; NCI-H747; NCI-H838; FU-OV-1; RERF-LC-Sq1; DETROIT 562; L3.3; MKN45; MKN7; NCI-H1793; NCI-H2126; NCI-H2228; NCI-H661; SNU-C2A; TE-6; HCC1937; HCT-15; KYSE-70; NCI-H1355; NCI-H1437; NCI-H2122; TUHR4TKB; WM-793; NCI-H2030; IGROV1; LCLC-103H; LOX IMVI; MDA-MB-453; NCI-H1703; NCI-H196; NCI-H2009; NCI-H2286; SNU-C1; COLO205; COR-L47; HCC1187; HuH-6; NCI-H146; SNU-1; NCI-H23; OS-RC-2; SW948; COR-L88; HCC2218; HCC44; HSC4; NCI-H2172; TCCSUP; TE11; UACC-62; VCaP; EFM-19; HuG1-N; KYSE-510; LU65; NCI-H460; NCI-H522; PE/CA-PJ34 (clone C12); SK-MEL-30; SW1990; A-204; BxPC-3; Calu-1; HEC-251; HEL; KYSE-180; MONO-MAC-1; SF-295; SK-MEL-5; 22Rv1; A172; BT-20; Calu-6; FaDu; KP4; MONO-MAC-6; OVCAR-8; THP-1; 769-P; C32; HEC-59; K-562; NUGC-3; RD; SEM; SHP-77; TC-71; G-402; U-118 MG; KYSE-150; NCI-H1155; NCI-N87; OPM-2; PL45; SK-CO-1; SU-DHL-4; A-673; MDA-MB-231; Hey-A8; RH-41; KMS-12-BM; LN-229; LS 180; MOLM-13; KARPAS-299; CAL-120; DU 145; G-401; IM95; JHUEM-2; KARPAS-422; KASUMI-1; HCC-15; U-87 MG; AsPC-1; SNU-719; COR-L23; F-36P; HEC-50B; KNS-81; OCI-AML5; TE-10; WM-115; 697; 8305C; HCT-15; IGR-1; SUIT-2; LN-18; LNCaP clone FGC; NCI-H650; Reh; HEC-1-A; HUP-T3; KMS-27; LXF-289; CAL 27; RMUG-S; SNU-1105; CAL-33; U-937; A-704; WM-88; KMS-11; NALM-6; NCI-H2052; OV-90; SK-ES-1; SNB-19; MFE-280; EOL-1; SW 1573; HEL 92.1.7; K029AX; JHOS-2; SNU-685; NIH:OVCAR-3; Saos-2; TE-4; JHH-1; SW 1271; NCI-H226; REC-1; HT-1080; KYSE-30; U-2 OS; GB-1; IA-LM; CMK; COLO 829; NCI-H647; OV56; RH-30; RPMI 8226; SJSA-1; HEC-6; SW837; Caki-1; KP-2; KU-19-19; MFE-296; NCI-H292; NCI-H716; NU-DHL-1; OCI-LY3; SK-N-MC; ChaGo-K-1; EFM-192A; HEC-265; MOLM-16; PANC-1; SCC-25; RT4; T24; TF-1; A101D; Daoy; JM1; KASUMI-2; KYM-1; KYSE-410; CL-34; NCI-H446; SK-N-AS; DAN-G; KNS-42; HEC-108; JeKo-1; JURKAT; MSTO-211H; OCUM-1; CCK-81; SNU-449; 8505C; HCC-1833; Panc 04.03; J82; JHH-4; OVSAHO; RL; SNU-C5; SU-DHL-6; MFE-319; HD-MY-Z; HDQ-P1; JHH-6; L-428; LMSU; HUP-T4; SW 1783; UM-UC-3; SK-LU-1; Ishikawa (Heraklio) 02 ER-; SNG-M; GAMG; NCI-H929; Panc 02.03; RCH-ACV; SNU-423; SNU-1079,Mixed,Multiple organs,Multiple,Multiple,Cancer,Microsatellite Instability (MSI),Quantitative multiplexed proteomics; TMT10-plex; MS3-based quantification (SPS); 42 batches,"This study profiled 375 CCLE cancer cell lines using TMT10-plex mass spectrometry to quantify protein expression, finding that primary variation is organized by coordinated pathway expression, and investigating protein complex changes in MSI cell lines.",Orbitrap Fusion,TMT 10-plex,12755.0,TenPx_ID TMT Channel Channel Type Sample Name CCLE Code Tissue Organ Notes TenPx01 126 Sample MDA-MB-468 MDAMB468_BREAST Breast Breast cancer TenPx01 127N Sample SH-4 SH4_SKIN Skin Skin cancer TenPx01 127C Sample AU565 AU565_BREAST Breast Breast cancer TenPx01 128N Sample KMRC-1 KMRC1_KIDNEY Kidney Kidney cancer TenPx01 128C Sample CAL-51 CAL51_BREAST Breast Breast cancer TenPx01 129N Sample RPMI-7951 RPMI7951_SKIN Skin Skin cancer TenPx01 129C Sample RERF-LC-MS RERFLCMS_LUNG Lung Lung cancer TenPx01 130N Sample IGR-37 IGR37_SKIN Skin Skin cancer TenPx01 130C Sample VMRC-RCW VMRCRCW_KIDNEY Kidney Kidney cancer TenPx01 131 Bridge bridge_TenPx01 NA pooled pooled pooled reference,,Bridge channel (131 reagent) pooled from 11 lines: NCIH446; DMS79; NCIH460; DMS53; NCIH69; HCC1954; CAMA1; KYSE180; NMCG1; UACC257; AU565,375.0,375,Ratio-to-bridge normalization Summed S/N equalization (>200); log2-transformation; bridge ratio subtraction; mean centering within each ten-plex,Protein,Centered at 0 within each ten-plex,UniProt,2014.0,"Fixed: Carbamidomethyl (C); TMT (K, Protein N-term). Variable: Oxidation (M)",0.01,result_MSV000085836.xlsx,,"Quantitative Proteomics of the Cancer Cell Line Encyclopedia: 375 cancer cell lines, 12,000 proteins quantified. Pathway-driven organization; RNA-protein correlation 0.48; MSI lines show downregulation of MMR, SKI, RQC complexes",,Not specified
MassIVE,MSV000090700,37730182,Protein Kinase Signaling Networks Driven by Oncogenic Gq/11 in Uveal Melanoma Identified by Phosphoproteomic and Bioinformatic Analyses,24,,12.0,12.0,0,0.0,0,"Cell lines (MP41, MP46 PDX-derived; OCM-1A)",Cell Lines,Uveal melanoma cell lines,Eye,Eye,Melanoma,Cancer; cancer; cancer,Cancer,Eye,Uveal melanoma,Uveal melanoma cell lines,GNA11-Q209L; GNAQ-Q209L; BRAF(V600E),Treatment-control (FR900359 vs vehicle); TMT multiplex (3 plexes); phosphoproteomics,TMT-based quantitative proteome and phosphoproteome analysis of three uveal melanoma cell lines treated with FR900359 versus vehicle to identify signaling pathways driven by oncogenic Gq/11,Q Exactive Plus,TMT 11-plex,7000.0,FR Treatment (Channel 5) FR Treatment (Channel 6) FR Treatment (Channel 7) FR Treatment (Channel 10),FR vs vehicle (within each cell line),,12.0,12,Reference channel normalization (within plex) + global scaling (MSstatsTMT),,Within-plex,UniProt,2022.0,"Fixed: Carbamidomethyl (C); TMT (K, N-term). Variable: Oxidation (M); Acetyl (protein N-term)",0.01,result_MSV000090700.xlsx,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000090700,Protein kinase signaling networks driven by oncogenic Gq/11 in uveal melanoma,Log2(MSStatsTMT Normalized TMT Reporter Intensity),Log-transformed
PDC,PDC000110,32529193,"Proteogenomic Characterization of Ovarian HGSC Implicates Mitotic Kinases, Replication Stress in Observed Chromosomal Instability",108,0.0,85.0,0.0,23,0.0,97,Ovarian Serous Cystadenocarcinoma,Tissue,"Ovary, Fallopian tube",Ovary; Fallopian tube,High-Grade Serous Ovarian Carcinoma,,,,,,HGSOC,High-grade serous carcinoma (HGSC),TMT10; proteome + phosphoproteome; LC-MS/MS; WXS; RNA-seq,"Proteogenomic characterization of 83 prospectively collected ovarian HGSC and 20 normal FT samples; identifies mitotic kinases (CDK1/2/4/7, AURKA) and replication stress as drivers of chromosomal instability",Q Exactive,TMT 10-plex,8515.0,10,126–130C = tumor/normal samples,131 = pooled reference,97.0,97,Universal pooled reference normalization; CDAP harmonization; log2 relative abundance ratios,,,UniProt; RefSeq,2018.0,Fixed: Carbamidomethyl(C); TMT 10-plex(K); TMT 10-plex(N-term) Variable: Oxidation(M),0.01,result_PDC000110.xlsx,https://pdc.cancer.gov/pdc/study/PDC000110,"Integrated TMT10 proteogenomic and phosphoproteomic profiling of HGSC identified increased CDK/AURKA signaling, replication stress-associated pathways, RB1 hyperphosphorylation, HRD-associated histone acetylation changes, and chromosomal instability signatures relative to normal FT controls",Relative TMT quantification dependent on pooled reference channel normalization; potential batch effects across TMT10 plexes; FT tissues represent precursor rather than adjacent ovarian normal controls; partial contribution of stromal/immune components in FT controls,Normalized
PDC,PDC000116,31031003,Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities,197,0.0,97.0,0.0,100,0.0,102,Primary colon adenocarcinoma tissue; mostly matched normal adjacent colon tissue (NAT) controls,Tissue,Colon,Colon,Colon Adenocarcinoma,,,,,,COAD,Colon adenocarcinoma,TMT10; proteome + phosphoproteome; LC-MS/MS; WXS; RNA-seq,"Proteogenomic study of prospectively collected colon cancer with paired normal tissue; identified cancer-associated proteins, phosphosites, drug targets including CDK4/6 and glycolytic enzymes",Q Exactive,TMT 10-plex,7418.0,10,126–130C = tumor/normal samples,131 = pooled reference,102.0,102,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2017.0,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000116.xlsx,https://pdc.cancer.gov/pdc/study/PDC000116,"First large-scale prospective CPTAC proteogenomic study of human colon cancer integrating TMT proteomics, phosphoproteomics, genomics, and transcriptomics. The study identified tumor-associated proteins and phosphosites, defined integrated molecular subtypes, linked Rb phosphorylation and glycolysis-driven immune suppression to colon cancer biology, and revealed clinically relevant therapeutic targets, neoantigens, and candidate biomarkers not detectable from genomics alone.",Cohort included only colon tumors and excluded rectal cancer; control samples were matched normal adjacent tissues (NATs) rather than independent healthy colon tissues; tumor/NAT design was not fully symmetric; relative TMT quantification depended on pooled reference channel 131; mixed LFQ and TMT platforms introduced cross-platform variability; phosphoproteome coverage was enrichment-dependent (IMAC bias); proteomics measurements remained limited by missing values and MS detection depth; therapeutic hypotheses and biomarkers were not functionally validated in vivo.,Normalized
PDC,PDC000118,32529193,"Proteogenomic Characterization of Ovarian HGSC Implicates Mitotic Kinases, Replication Stress in Observed Chromosomal Instability",103,0.0,84.0,0.0,19,0.0,95,Primary tumor tissue; normal fallopian tube (FT) tissue,Tissue,"Ovary, Fallopian tube",Ovary; Fallopian tube,High-Grade Serous Ovarian Carcinoma,,,,,,HGSC,High-grade serous carcinoma (HGSC),"Prospective CPTAC2 ovarian HGSC study using TMT10 multiplex LC-MS/MS global proteome and phosphoproteome profiling with pooled internal reference channel 131, 24 bRPLC fractions, IMAC phosphopeptide enrichment, integrated WXS and RNA-seq analysis, and matched fallopian tube controls under strict ischemia-time control ≤30 min.","Proteogenomic characterization of prospectively collected ovarian HGSC samples and matched fallopian tube precursor tissues identifying replication stress, mitotic kinase activation, RB1 hyperphosphorylation, homologous repair deficiency-associated signaling, and chromosomal instability programs",Q Exactive Plus,TMT 10-plex,8818.0,10,126–130C = tumor/normal samples,131 = pooled reference,95.0,95,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2017.0,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000118.xlsx,https://pdc.cancer.gov/pdc/study/PDC000118,"Integrated proteogenomic and phosphoproteomic analysis demonstrated increased CDK1/CDK2/CDK4/CDK7 and AURKA signaling, replication stress-associated phosphorylation, RB1 hyperphosphorylation, chromosomal instability, and altered DNA repair pathways in HGSC relative to fallopian tube precursor tissue, suggesting therapeutic relevance of CDK and Aurora kinase inhibition.","Relative TMT reporter-ion quantification may introduce ratio compression and reduced dynamic range despite deep fractionation. PDC annotation-derived sample counts (84 tumor / 19 normal) differ from publication cohort numbers (83 HGSC / 20 FT) because pooled reference channels, QC samples, duplicated annotation rows, excluded specimens, and aliquot-level accounting are included in metadata. Two normal fallopian tube samples were removed during QC filtering. Survival analyses were limited by short follow-up duration and low event count. Tumor-versus-normal comparisons may additionally reflect differences in tissue composition between HGSC tumors and fallopian tube precursor tissues.",Normalized
PDC,PDC000120,33212010,Proteogenomic Landscape of Breast Cancer Tumorigenesis and Targeted Therapy,153,0.0,125.0,0.0,18,0.0,124,Primary breast tumor tissue; adjacent normal breast tissue,Tissue,Breast,Breast,Breast Invasive Carcinoma,,,,,,Breast invasive carcinoma (BRCA),"Luminal A, Luminal B, HER2-enriched, Triple-negative breast cancer (TNBC)","CPTAC breast cancer global proteome profiling using TMT10-based LC-MS/MS. The proteomics raw data consisted of 17 TMT plexes: plexes 1–13 and 16–17 contained tumor samples only, while plexes 14–15 contained normal adjacent tissue (NAT) samples only. Results reported in the study were based exclusively on tumor-only plexes. Samples were fractionated by bRPLC and analyzed by Orbitrap Fusion MS with pooled reference-based normalization and CDAP processing.","Large-scale CPTAC breast cancer proteome study using TMT10 multiplex quantitative proteomics of primary breast tumors. Global proteome analysis included extensive peptide fractionation, pooled internal reference channels, Orbitrap Fusion DDA acquisition, and CDAP-based protein quantification for integrated proteogenomic characterization.",Orbitrap Fusion,TMT 10-plex,10491.0,10,126–130C = tumor samples (9 per plex),131 = pooled reference,127.0,127,CDAP; median norm; log2 ratio to ref,Gene,Per study,RefSeq,2017.0,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000120.xlsx,https://pdc.cancer.gov/pdc/study/PDC000120,"Integrated CPTAC proteogenomic analysis of treatment-naïve breast cancers refined molecular subtype classification beyond standard clinical markers, identified proteome-defined signaling and immune subgroups, revealed discordance between genomic and proteomic tumor classification, and identified candidate therapeutic vulnerabilities associated with immune checkpoint activity and CDK4/6 inhibitor responsiveness.","Normal adjacent tissue (NAT) samples were processed in separate NAT-only plexes (14–15), while reported study results were generated only from tumor-only plexes, limiting direct tumor-versus-NAT comparisons within the same multiplex batches. MS2-based TMT quantification on Orbitrap Fusion may be susceptible to ratio compression/co-isolation interference compared with SPS-MS3 workflows.",Normalized
PDC,PDC000125,32059776,Proteogenomic Characterization of Endometrial Carcinoma,153,0.0,104.0,0.0,49,0.0,123,"The cohort included 95 primary endometrial carcinomas (83 endometrioid and 12 serous tumors) and 49 normal uterine tissue samples, including 18 normal endometrium samples, 25 mixed endometrium-myometrium samples, and 6 myometrium samples.",Tissue,Endometrium,Uterus,Uterine Corpus Endometrial Carcinoma,,,,,,Endometrial carcinoma (EC),Endometrioid endometrial carcinoma (n=83); Serous endometrial carcinoma (n=12),"Prospective CPTAC UCEC multi-omics study integrating TMT10-based proteome, phosphoproteome, acetylome, WXS/WGS, RNA-seq, miRNA-seq, and DNA methylation profiling of primary endometrial carcinomas and normal uterine tissues","Comprehensive proteogenomic characterization of 95 treatment-naïve endometrial carcinomas (83 endometrioid, 12 serous) and 49 normal uterine tissues identifying subtype-specific TP53, CTNNB1/Wnt, DDR, acetylation, EMT/circRNA, and immune-evasion mechanisms using integrated proteomic and genomic analyses",Orbitrap Fusion Lumos,TMT 10-plex,10768.0,10,126–130C = tumor/NAT samples,131 = CompRef (pooled normal uterus),123.0,123,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C), TMT (K/N-term); Variable: Oxidation (M)",0.01,result_PDC000125.xlsx,https://pdc.cancer.gov/pdc/study/PDC000125,"The genomic characteristics of the prospective EC cohort were largely consistent with TCGA-defined molecular subtypes, while integrated proteomics revealed subtype-specific TP53, CTNNB1/Wnt, DDR, acetylation, EMT/circRNA, and immune-associated alterations with potential therapeutic relevance","PDC aliquot counts exceed biological tissue counts because of pooled reference and auxiliary channels; heterogeneous normal tissue categories were included (endometrium, mixed endometrium-myometrium, myometrium); observational cohort; single-site tumor sampling may underrepresent intratumoral heterogeneity",Normalized
PDC,PDC000127,31675502,Integrated Proteogenomic Characterization of Clear Cell Renal Cell Carcinoma,199,0.0,110.0,0.0,84,0.0,124,"Primary clear cell renal cell carcinoma tumor tissue, normal adjacent tissue (NAT), and interspersed NCI7 QC cell line samples",Tissue,Kidney tumor tissue; normal adjacent kidney tissue,Kidney,Clear cell renal cell carcinoma (ccRCC),NCI7-1; NCI7-2; NCI7-3; NCI7-4; NCI7-5,Cancer,Multiple,Multiple,Multiple,CcRCC,Clear cell renal cell carcinoma (ccRCC),"TMT10-based global proteome and phosphoproteome profiling with integrated WGS, WXS, RNA-seq, DNA methylation, and proteogenomic analysis of treatment-naive ccRCC tumors and NATs","Large-scale CPTAC proteogenomic characterization of treatment-naive ccRCC integrating proteome, phosphoproteome, genome, transcriptome, and methylome data; identified immune-based subtypes, metabolic rewiring, OXPHOS suppression, genomic instability, and EGFR/MAPK/mTOR signaling alterations",Orbitrap Fusion Lumos,TMT 10-plex,9964.0,10,126–130C = tumor samples; one plex has NAT as sample,131 = CompRef (pooled normal kidney),124.0,124,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,UniProt; RefSeq,2019.0,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000127.xlsx,https://pdc.cancer.gov/pdc/study/PDC000127,"Proteogenomic integration identified ccRCC-specific metabolic rewiring, immune-based tumor subtypes, genomic instability-associated tumors, OXPHOS suppression at the protein level, and activated EGFR/MAPK/mTOR signaling pathways not fully captured by transcriptomics",Seven molecularly atypical non-ccRCC tumors and three corresponding NAT samples were excluded from downstream proteogenomic analyses,Normalized
