№,DOI,Статья (кратко),Верно?,Фраза в INTRODUCTION (откуда цитата)
1,10.1021/acs.jproteome.2c00838,An Introduction to Mass Spectrometry-Based Proteomics (2023),Да,"«протеомный анализ применяется для изучения механизмов заболеваний, поиска потенциальных биомаркеров и оценки молекулярного ответа на терапию»"
2,10.1021/ac0262560,Tandem mass tags — первая работа по TMT (2003),Да,"«Первая версия, представленная в 2003 году, была предназначена для двухканального относительного количественного анализа»; также: «Интенсивность каждого репортёрного иона отражает относительное содержание…»"
3,10.1021/ac702422x,6-plex TMT в человеческой CSF (2008),Да,"«Шестиканальный формат TMT6plex был применён для одновременного анализа шести образцов»"
4,10.1021/ac301572t,Расширение TMT до 8-plex (2012),Да,"«Использование репортёрных ионов с небольшими различиями масс позволило расширить мультиплексирование сначала до восьми каналов»"
5,10.1021/ac500140s,TMT 10-plex — ion coalescence (2014),Да,"«а затем до формата TMT10plex»"
6,10.1038/s41592-020-0781-4,TMTpro 16-plex (2020),Да,"«Позднее были разработаны реагенты TMTpro, позволяющие анализировать до 16 образцов»"
7,10.1021/acs.jproteome.1c00168,TMTpro-18plex (2021),Да,"«и полный набор TMTpro18plex для одновременного анализа до 18 образцов»"
8,10.1002/cbic.201800650,Обзор Quantitative Multiplexed Proteomics (2019),Да,"«Практическое преимущество TMT заключается в возможности совместного анализа нескольких образцов…»; «Вместе с тем TMT не является универсально предпочтительным методом… мечения, контроля полноты реакции, точного смешивания… нормализации… межсерийные эффекты… pooled-образец»"
9,10.1038/s41596-018-0006-9,CPTAC workflow TMT для тканей опухолей (2018),Частично,"«TMT в сочетании с MS3-квантификацией был включён в стандартизированные рабочие процессы… CPTAC» — статья описывает TMT-10 workflow CPTAC для протеома/фосфопротеома опухолей; количественная схема в протоколе — MS2, MS3 упоминается лишь как способ коррекции co-isolation (ссылка на Ting et al., 2011), не как описанный здесь шаг протокола"
10,10.1093/nar/gkac1040,ProteomeXchange — 10 years update (2023),Да,"«К середине 2022 года через инфраструктуру ProteomeXchange было зарегистрировано более 34 000 наборов данных» (в статье: >34 233 к июню 2022)"
11,10.1093/nar/gkae1011,PRIDE — 20 years update (2025),Да,"«По состоянию на август 2024 года PRIDE содержал более 42 000 наборов данных, а в течение 2023 года принимал в среднем более 500 новых наборов ежемесячно» — в полном тексте: 42 036 наборов (авг. 2024) и в среднем 534 набора/мес. в 2023 г."
12,10.1038/s41592-020-0955-0,MassIVE.quant (2020),Да,"«Связанный ресурс MassIVE.quant ориентирован на количественные протеомные исследования и может содержать… описание экспериментального дизайна, промежуточные результаты…»"
13,10.1093/nar/gkab1081,iProX (2022),Да,"«Репозиторий iProX… расширяет географический охват ProteomeXchange, включая исследования… группами Китая и других стран Азии»"
14,10.1158/2767-9764.CRC-24-0243,Proteomic Data Commons (2024),Да,"«Proteomic Data Commons, PDC… специализируется на протеомных и протеогеномных исследованиях рака и является компонентом Cancer Research Data Commons»; «Инфраструктура… перенесена в Proteomic Data Commons»"
15,10.1158/2159-8290.CD-13-0219,CPTAC — концепция консорциума (2013),Да,"«Развитие консорциума началось с формирования инфраструктуры для систематического протеогеномного исследования опухолей»"
16,10.1038/nature13438,Протеогеномика CRC/TCGA (2014),Да,"«повторного протеомного анализа образцов колоректального рака проекта TCGA»"
17,10.1038/nature18003,Протеогеномика рака молочной железы (2016),Да,"«CPTAC опубликовал протеогеномные характеристики рака молочной железы» (первая из двух ссылок на breast)"
18,10.1016/j.cell.2020.10.036,Протеогеномика breast cancer CPTAC (2020),Да,"«CPTAC опубликовал протеогеномные характеристики рака молочной железы» (вторая ссылка: DOI 10.1038/nature18003; DOI 10.1016/j.cell.2020.10.036)"
19,10.1016/j.cell.2019.10.007,Протеогеномика ccRCC (2019),Да,"«светлоклеточного почечно-клеточного рака»"
20,10.1016/j.cell.2019.03.030,Протеогеномика колоректального рака (2019),Да,"«колоректального рака»"
21,10.1016/j.cell.2020.01.026,Протеогеномика эндометриального рака (2020),Да,"«эндометриальной карциномы»"
22,10.1016/j.cell.2020.06.013,Протеогеномика LUAD (2020),Да,"«протеогеномное исследование аденокарциномы лёгкого, включавшее 110 ранее не леченных опухолей и 101 образец прилежащей неопухолевой ткани»"
23,10.1016/j.cell.2021.07.016,Протеогеномика плоскоклеточного рака лёгкого (2021),Да,"«плоскоклеточного рака лёгкого»"
24,10.1016/j.ccell.2020.12.007,Протеогеномика HNSCC (2021),Да,"«плоскоклеточного рака головы и шеи»"
25,10.1016/j.ccell.2021.01.006,Протеогеномика глиобластомы (2021),Да,"«глиобластомы»"
26,10.1016/j.cell.2021.08.023,Протеогеномика PDAC (2021),Да,"«протоковой аденокарциномы поджелудочной железы»"
27,10.1016/j.ccell.2023.06.009,Панонкологический ресурс CPTAC (2023),Да,"«Гармонизированный панонкологический ресурс CPTAC объединяет… данные более чем 1000 опухолей из десяти когорт»"
28,10.1021/pr501254j,CPTAC Data Portal (2015),Да,"«Инфраструктура хранения данных CPTAC первоначально была представлена CPTAC Data Portal»"
29,10.1016/j.cell.2018.03.022,TCGA Pan-Cancer Atlas (2018),Да,"«проектом TCGA Pan-Cancer Atlas, объединившим молекулярные характеристики более 10 000 опухолей 33 типов»"
30,10.1016/j.cell.2020.08.036,GTEx Proteome — карта протеома тканей (2020),Да,"«GTEx-Proteome содержит количественные протеомные профили 201 образца, представляющего 32 нормальные ткани от 14 доноров, полученные с использованием TMT10 и MS3-квантификации» — подтверждено полным текстом Cell 2020 (201 образцов, 32 ткани, 14 доноров, TMT 10plex/MS3, pooled reference)"
31,10.1126/science.aaz1776,GTEx atlas транскриптома (2020),Да,"«транскриптомную инфраструктуру GTEx, характеризующую генетическую регуляцию экспрессии в 49 тканях человека» — в GTEx v8 собрано 54 ткани, но анализ cis/trans-регуляции выполнен по 49 тканям с ≥70 донорами (Science 2020, aaz1776)"
32,10.1016/j.cell.2019.12.023,Протеомика CCLE — 375 линий (2020),Да,"«Протеомная панель Cancer Cell Line Encyclopedia включает 375 опухолевых клеточных линий»"
33,10.1038/s41586-019-1186-3,CCLE next-generation characterization (2019),Да,"«Интерпретация этих данных опирается на более широкую геномную и функциональную характеристику клеточных линий CCLE»"
34,10.1002/mas.21860,Tissue proteomics repositories (2024),Да,"«Эти сведения приходится восстанавливать вручную из статей, дополнительных материалов, описаний проектов и заголовков количественных таблиц»"
35,10.3390/proteomes14020016,Beyond Reanalysis — барьеры реиспользования (2026),Да,"«Гетерогенность экспериментальных дизайнов и стандартов метаданных рассматривается как один из основных барьеров для повторного использования данных протеомики солидных опухолей»"
36,10.1038/s41597-021-00890-2,Реанализ 11 протеомных исследований (2021),Да,"«были повторно проанализированы 7171 масс-спектрометрический запуск из 11 исследований PRIDE, MassIVE и PDC»"
37,10.1371/journal.pcbi.1011828,Мета-анализ CRC — 12 наборов (2024),Да,"«были интегрированы 12 наборов данных колоректального рака из PRIDE, jPOST и PDC, включавшие 2458 масс-спектрометрических запусков и 440 образцов от 299 пациентов»"
38,10.1021/acs.jproteome.4c00788,Реанализ DIA нормальных тканей (2025),Да,"«повторный анализ 15 открытых DIA-наборов нормальных тканей человека, включавших 178 образцов из 12 тканей, с последующим включением результатов в Expression Atlas»"
