№,DOI,Title,Journal,Year,Article number/pages,PMID,PMCID,DOI link,Europe PMC,Open access,OA status,PDF status,PDF source,PDF URL,Local PDF,Errors
1,10.1021/acs.jproteome.2c00838,An Introduction to Mass Spectrometry-Based Proteomics.,Journal of Proteome Research,2023,2151-2171,37260118,,https://doi.org/10.1021/acs.jproteome.2c00838,https://europepmc.org/article/MED/37260118,False,closed,not downloaded,,,,Semantic Scholar: HTTP Error 429:  | Crossref PDF candidate: HTTP Error 403: Forbidden
2,10.1021/ac0262560,Tandem mass tags: a novel quantification strategy for comparative analysis of complex protein mixtures by MS/MS.,Analytical Chemistry,2003,1895-1904,12713048,,https://doi.org/10.1021/ac0262560,https://europepmc.org/article/MED/12713048,False,closed,not downloaded,,,,Semantic Scholar: HTTP Error 429: 
3,10.1021/ac702422x,Relative quantification of proteins in human cerebrospinal fluids by MS/MS using 6-plex isobaric tags.,Analytical Chemistry,2008,2921-2931,18312001,,https://doi.org/10.1021/ac702422x,https://europepmc.org/article/MED/18312001,False,closed,not downloaded,,,,Semantic Scholar PDF: not PDF; content-type=text/html; charset=utf-8; final=https://figshare.com/articles/journal_contribution/Relative_Quantification_of_Proteins_in_Human_Cerebrospinal_Fluids_by_MS_MS_Using_6_Plex_Isobaric_Tags/2944618/1/files/4643407.pdf
4,10.1021/ac301572t,Increasing the multiplexing capacity of TMTs using reporter ion isotopologues with isobaric masses.,Analytical Chemistry,2012,7469-7478,22880955,PMC3715028,https://doi.org/10.1021/ac301572t,https://europepmc.org/article/MED/22880955,False,closed,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Semantic Scholar: HTTP Error 429: 
5,10.1021/ac500140s,Ion coalescence of neutron encoded TMT 10-plex reporter ions.,Analytical Chemistry,2014,3594-3601,24579773,,https://doi.org/10.1021/ac500140s,https://europepmc.org/article/MED/24579773,False,closed,not downloaded,,,,
6,10.1038/s41592-020-0781-4,TMTpro reagents: a set of isobaric labeling mass tags enables simultaneous proteome-wide measurements across 16 samples.,Nature Methods,2020,399-404,32203386,PMC7302421,https://doi.org/10.1038/s41592-020-0781-4,https://europepmc.org/article/MED/32203386,True,green,not downloaded,,,,Europe PMC PDF: The read operation timed out | Unpaywall candidate: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC7302421/ | Semantic Scholar: HTTP Error 429:  | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41592-020-0781-4.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41592-020-0781-4.pdf
7,10.1021/acs.jproteome.1c00168,TMTpro-18plex: The Expanded and Complete Set of TMTpro Reagents for Sample Multiplexing.,Journal of Proteome Research,2021,2964-2972,33900084,PMC8210943,https://doi.org/10.1021/acs.jproteome.1c00168,https://europepmc.org/article/MED/33900084,True,green,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC8210943/ | Semantic Scholar: HTTP Error 429: 
8,10.1002/cbic.201800650,A Review on Quantitative Multiplexed Proteomics.,ChemBioChem,2019,1210-1224,30609196,PMC6520187,https://doi.org/10.1002/cbic.201800650,https://europepmc.org/article/MED/30609196,,,downloaded,already present,,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\08_2019_A Review on Quantitative Multiplexed Proteomics.pdf,
9,10.1038/s41596-018-0006-9,Reproducible workflow for multiplexed deep-scale proteome and phosphoproteome analysis of tumor tissues by liquid chromatography-mass spectrometry.,Nature Protocols,2018,1632-1661,29988108,PMC6211289,https://doi.org/10.1038/s41596-018-0006-9,https://europepmc.org/article/MED/29988108,True,green,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC6211289/ | Semantic Scholar PDF: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC6211289/ | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41596-018-0006-9.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41596-018-0006-9.pdf
10,10.1093/nar/gkac1040,The ProteomeXchange consortium at 10 years: 2023 update.,Nucleic Acids Research,2023,D1539-D1548,36370099,PMC9825490,https://doi.org/10.1093/nar/gkac1040,https://europepmc.org/article/MED/36370099,True,gold,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden | Crossref PDF candidate: HTTP Error 403: Forbidden
