old_name,new_name,doi,bytes
16_2014_Proteogenomic characterization of human colon and rectal cancer.pdf,PMID_25043054.pdf,10.1038/nature13438,
18_2020_Proteogenomic Landscape of Breast Cancer Tumorigenesis and Targeted Therapy.pdf,PMID_33212010.pdf,10.1016/j.cell.2020.10.036,
19_2019_Integrated Proteogenomic Characterization of Clear Cell Renal Cell Carcinoma.pdf,PMID_31675502.pdf,10.1016/j.cell.2019.10.007,
20_2019_Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities.pdf,PMID_31031003.pdf,10.1016/j.cell.2019.03.030,
21_2020_Proteogenomic Characterization of Endometrial Carcinoma.pdf,PMID_32059776.pdf,10.1016/j.cell.2020.01.026,
22_2020_Proteogenomic Characterization Reveals Therapeutic Vulnerabilities in Lung Adenocarcinoma.pdf,PMID_32649874.pdf,10.1016/j.cell.2020.06.013,
27_2023_Proteogenomic data and resources for pan-cancer analysis.pdf,PMID_37582339.pdf,10.1016/j.ccell.2023.06.009,
"29_2018_Cell-of-Origin Patterns Dominate the Molecular Classification of 10,000 Tumors from 33 Types of Cancer.pdf",PMID_29625048.pdf,10.1016/j.cell.2018.03.022,
31_2020_The GTEx Consortium atlas of genetic regulatory effects across human tissues.pdf,PMID_32913098.pdf,10.1126/science.aaz1776,
36_2021_An integrated landscape of protein expression in human cancer.pdf,PMID_33893311.pdf,10.1038/s41597-021-00890-2,
37_2024_Integrated meta-analysis of colorectal cancer public proteomic datasets for biomarker discovery and validation.pdf,DOI_10.1371_journal.pcbi.1011828.pdf,10.1371/journal.pcbi.1011828,
38_2025_Integrated View of Baseline Protein Expression in Human Tissues Using Public Data Independent Acquisition Data Sets.pdf,PMID_39764611.pdf,10.1021/acs.jproteome.4c00788,
A proteogenomic portrait of lung.pdf,PMID_34358469.pdf,10.1016/j.cell.2021.07.016,
A Review on Quantitative Multiplexed Proteomics.pdf,PMID_30609196.pdf,10.1002/cbic.201800650,
Connecting Genomic Alterations to Cancer Biology.pdf,PMID_24124232.pdf,10.1158/2159-8290.CD-13-0219,
cptac.pdf,PMID_29988108.pdf,10.1038/s41596-018-0006-9,
genomic connectr cptac.pdf,PMID_24124232.pdf,10.1158/2159-8290.CD-13-0219,
HPVcarcinoma.pdf,PMID_33417831.pdf,10.1016/j.ccell.2020.12.007,
iprox.pdf,PMID_34871441.pdf,10.1093/nar/gkab1081,
massive.pdf,PMID_32929271.pdf,10.1038/s41592-020-0955-0,
PDC.pdf,DOI_10.1158_2767-9764.CRC-24-0243.pdf,10.1158/2767-9764.CRC-24-0243,
pride 2025.pdf,PMID_39494541.pdf,10.1093/nar/gkae1011,
pride.pdf,PMID_36370099.pdf,10.1093/nar/gkac1040,
Proteogenomic and metabolomic characterization of.pdf,PMID_33577785.pdf,10.1016/j.ccell.2021.01.006,
Proteogenomic characterization of pancreatic.pdf,PMID_34534465.pdf,10.1016/j.cell.2021.08.023,
Proteogenomic characterization reveals therapeutic vulnerabilities in lung adenocarcinoma.pdf,PMID_32649874.pdf,10.1016/j.cell.2020.06.013,
proteogenomics-connects-somatic-mutations-to-signalling-in-breas-2016.pdf,PMID_27251275.pdf,10.1038/nature18003,
Reproducible workflow for multiplexed deepscale.pdf,PMID_29988108.pdf,10.1038/s41596-018-0006-9,
thompson2003_tmt2.pdf,PMID_12713048.pdf,10.1021/ac0262560,
tmt 10.pdf,PMID_24579773.pdf,10.1021/ac500140s,
tmt 16.pdf,PMID_32203386.pdf,10.1038/s41592-020-0781-4,
tmt 18.pdf,PMID_33900084.pdf,10.1021/acs.jproteome.1c00168,
tmt 6.pdf,PMID_18312001.pdf,10.1021/ac702422x,
tmt 8.pdf,PMID_22880955.pdf,10.1021/ac301572t,
