№,DOI,Title,DOI link,Europe PMC,PMCID,Причина
1,10.1021/acs.jproteome.2c00838,An Introduction to Mass Spectrometry-Based Proteomics.,https://doi.org/10.1021/acs.jproteome.2c00838,https://europepmc.org/article/MED/37260118,,Закрытый доступ или блокировка автоматической загрузки
2,10.1021/ac0262560,Tandem mass tags: a novel quantification strategy for comparative analysis of complex protein mixtures by MS/MS.,https://doi.org/10.1021/ac0262560,https://europepmc.org/article/MED/12713048,,Закрытый доступ или блокировка автоматической загрузки
3,10.1021/ac702422x,Relative quantification of proteins in human cerebrospinal fluids by MS/MS using 6-plex isobaric tags.,https://doi.org/10.1021/ac702422x,https://europepmc.org/article/MED/18312001,,Закрытый доступ или блокировка автоматической загрузки
4,10.1021/ac301572t,Increasing the multiplexing capacity of TMTs using reporter ion isotopologues with isobaric masses.,https://doi.org/10.1021/ac301572t,https://europepmc.org/article/MED/22880955,PMC3715028,Закрытый доступ или блокировка автоматической загрузки
5,10.1021/ac500140s,Ion coalescence of neutron encoded TMT 10-plex reporter ions.,https://doi.org/10.1021/ac500140s,https://europepmc.org/article/MED/24579773,,Закрытый доступ или блокировка автоматической загрузки
6,10.1038/s41592-020-0781-4,TMTpro reagents: a set of isobaric labeling mass tags enables simultaneous proteome-wide measurements across 16 samples.,https://doi.org/10.1038/s41592-020-0781-4,https://europepmc.org/article/MED/32203386,PMC7302421,Закрытый доступ или блокировка автоматической загрузки
7,10.1021/acs.jproteome.1c00168,TMTpro-18plex: The Expanded and Complete Set of TMTpro Reagents for Sample Multiplexing.,https://doi.org/10.1021/acs.jproteome.1c00168,https://europepmc.org/article/MED/33900084,PMC8210943,Закрытый доступ или блокировка автоматической загрузки
9,10.1038/s41596-018-0006-9,Reproducible workflow for multiplexed deep-scale proteome and phosphoproteome analysis of tumor tissues by liquid chromatography-mass spectrometry.,https://doi.org/10.1038/s41596-018-0006-9,https://europepmc.org/article/MED/29988108,PMC6211289,Закрытый доступ или блокировка автоматической загрузки
10,10.1093/nar/gkac1040,The ProteomeXchange consortium at 10 years: 2023 update.,https://doi.org/10.1093/nar/gkac1040,https://europepmc.org/article/MED/36370099,PMC9825490,Закрытый доступ или блокировка автоматической загрузки
11,10.1093/nar/gkae1011,The PRIDE database at 20 years: 2025 update.,https://doi.org/10.1093/nar/gkae1011,https://europepmc.org/article/MED/39494541,PMC11701690,Закрытый доступ или блокировка автоматической загрузки
12,10.1038/s41592-020-0955-0,MassIVE.quant: a community resource of quantitative mass spectrometry-based proteomics datasets.,https://doi.org/10.1038/s41592-020-0955-0,https://europepmc.org/article/MED/32929271,PMC7541731,Закрытый доступ или блокировка автоматической загрузки
13,10.1093/nar/gkab1081,iProX in 2021: connecting proteomics data sharing with big data.,https://doi.org/10.1093/nar/gkab1081,https://europepmc.org/article/MED/34871441,PMC8728291,Закрытый доступ или блокировка автоматической загрузки
14,10.1158/2767-9764.CRC-24-0243,NCI’s Proteomic Data Commons: A Cloud-Based Proteomics Repository Empowering Comprehensive Cancer Analysis through Cross-Referencing with Genomic and Imaging Data,https://doi.org/10.1158/2767-9764.CRC-24-0243,,,Закрытый доступ или блокировка автоматической загрузки
15,10.1158/2159-8290.CD-13-0219,Connecting genomic alterations to cancer biology with proteomics: the NCI Clinical Proteomic Tumor Analysis Consortium.,https://doi.org/10.1158/2159-8290.CD-13-0219,https://europepmc.org/article/MED/24124232,PMC3800055,Закрытый доступ или блокировка автоматической загрузки
17,10.1038/nature18003,Proteogenomics connects somatic mutations to signalling in breast cancer.,https://doi.org/10.1038/nature18003,https://europepmc.org/article/MED/27251275,PMC5102256,Закрытый доступ или блокировка автоматической загрузки
23,10.1016/j.cell.2021.07.016,A proteogenomic portrait of lung squamous cell carcinoma.,https://doi.org/10.1016/j.cell.2021.07.016,https://europepmc.org/article/MED/34358469,PMC8475722,Закрытый доступ или блокировка автоматической загрузки
24,10.1016/j.ccell.2020.12.007,Proteogenomic insights into the biology and treatment of HPV-negative head and neck squamous cell carcinoma.,https://doi.org/10.1016/j.ccell.2020.12.007,https://europepmc.org/article/MED/33417831,PMC7946781,Закрытый доступ или блокировка автоматической загрузки
25,10.1016/j.ccell.2021.01.006,Proteogenomic and metabolomic characterization of human glioblastoma.,https://doi.org/10.1016/j.ccell.2021.01.006,https://europepmc.org/article/MED/33577785,PMC8044053,Закрытый доступ или блокировка автоматической загрузки
26,10.1016/j.cell.2021.08.023,Proteogenomic characterization of pancreatic ductal adenocarcinoma.,https://doi.org/10.1016/j.cell.2021.08.023,https://europepmc.org/article/MED/34534465,PMC8654574,Закрытый доступ или блокировка автоматической загрузки
28,10.1021/pr501254j,The CPTAC Data Portal: A Resource for Cancer Proteomics Research.,https://doi.org/10.1021/pr501254j,https://europepmc.org/article/MED/25873244,,Закрытый доступ или блокировка автоматической загрузки
30,10.1016/j.cell.2020.08.036,A Quantitative Proteome Map of the Human Body.,https://doi.org/10.1016/j.cell.2020.08.036,https://europepmc.org/article/MED/32916130,PMC7575058,Закрытый доступ или блокировка автоматической загрузки
32,10.1016/j.cell.2019.12.023,Quantitative Proteomics of the Cancer Cell Line Encyclopedia.,https://doi.org/10.1016/j.cell.2019.12.023,https://europepmc.org/article/MED/31978347,PMC7339254,Закрытый доступ или блокировка автоматической загрузки
33,10.1038/s41586-019-1186-3,Next-generation characterization of the Cancer Cell Line Encyclopedia.,https://doi.org/10.1038/s41586-019-1186-3,https://europepmc.org/article/MED/31068700,PMC6697103,Закрытый доступ или блокировка автоматической загрузки
34,10.1002/mas.21860,Tissue proteomics repositories for data reanalysis.,https://doi.org/10.1002/mas.21860,https://europepmc.org/article/MED/37534389,,Закрытый доступ или блокировка автоматической загрузки
35,10.3390/proteomes14020016,Beyond Reanalysis: Critical Issues in Data Reuse for Solid Tumor Proteomics.,https://doi.org/10.3390/proteomes14020016,https://europepmc.org/article/MED/42029488,PMC13108149,Закрытый доступ или блокировка автоматической загрузки
