№,DOI,DOI link,Europe PMC search,PubMed search,Google Scholar search
1,10.1021/acs.jproteome.2c00838,https://doi.org/10.1021/acs.jproteome.2c00838,https://europepmc.org/search?query=DOI:10.1021/acs.jproteome.2c00838,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/acs.jproteome.2c00838,https://scholar.google.com/scholar?q=10.1021/acs.jproteome.2c00838
2,10.1021/ac0262560,https://doi.org/10.1021/ac0262560,https://europepmc.org/search?query=DOI:10.1021/ac0262560,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/ac0262560,https://scholar.google.com/scholar?q=10.1021/ac0262560
3,10.1021/ac702422x,https://doi.org/10.1021/ac702422x,https://europepmc.org/search?query=DOI:10.1021/ac702422x,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/ac702422x,https://scholar.google.com/scholar?q=10.1021/ac702422x
4,10.1021/ac301572t,https://doi.org/10.1021/ac301572t,https://europepmc.org/search?query=DOI:10.1021/ac301572t,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/ac301572t,https://scholar.google.com/scholar?q=10.1021/ac301572t
5,10.1021/ac500140s,https://doi.org/10.1021/ac500140s,https://europepmc.org/search?query=DOI:10.1021/ac500140s,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/ac500140s,https://scholar.google.com/scholar?q=10.1021/ac500140s
6,10.1038/s41592-020-0781-4,https://doi.org/10.1038/s41592-020-0781-4,https://europepmc.org/search?query=DOI:10.1038/s41592-020-0781-4,https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/s41592-020-0781-4,https://scholar.google.com/scholar?q=10.1038/s41592-020-0781-4
7,10.1021/acs.jproteome.1c00168,https://doi.org/10.1021/acs.jproteome.1c00168,https://europepmc.org/search?query=DOI:10.1021/acs.jproteome.1c00168,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/acs.jproteome.1c00168,https://scholar.google.com/scholar?q=10.1021/acs.jproteome.1c00168
8,10.1002/cbic.201800650,https://doi.org/10.1002/cbic.201800650,https://europepmc.org/search?query=DOI:10.1002/cbic.201800650,https://pubmed.ncbi.nlm.nih.gov/?term=10.1002/cbic.201800650,https://scholar.google.com/scholar?q=10.1002/cbic.201800650
9,10.1038/s41596-018-0006-9,https://doi.org/10.1038/s41596-018-0006-9,https://europepmc.org/search?query=DOI:10.1038/s41596-018-0006-9,https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/s41596-018-0006-9,https://scholar.google.com/scholar?q=10.1038/s41596-018-0006-9
10,10.1093/nar/gkac1040,https://doi.org/10.1093/nar/gkac1040,https://europepmc.org/search?query=DOI:10.1093/nar/gkac1040,https://pubmed.ncbi.nlm.nih.gov/?term=10.1093/nar/gkac1040,https://scholar.google.com/scholar?q=10.1093/nar/gkac1040
11,10.1093/nar/gkae1011,https://doi.org/10.1093/nar/gkae1011,https://europepmc.org/search?query=DOI:10.1093/nar/gkae1011,https://pubmed.ncbi.nlm.nih.gov/?term=10.1093/nar/gkae1011,https://scholar.google.com/scholar?q=10.1093/nar/gkae1011
12,10.1038/s41592-020-0955-0,https://doi.org/10.1038/s41592-020-0955-0,https://europepmc.org/search?query=DOI:10.1038/s41592-020-0955-0,https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/s41592-020-0955-0,https://scholar.google.com/scholar?q=10.1038/s41592-020-0955-0
13,10.1093/nar/gkab1081,https://doi.org/10.1093/nar/gkab1081,https://europepmc.org/search?query=DOI:10.1093/nar/gkab1081,https://pubmed.ncbi.nlm.nih.gov/?term=10.1093/nar/gkab1081,https://scholar.google.com/scholar?q=10.1093/nar/gkab1081
14,10.1158/2767-9764.CRC-24-0243,https://doi.org/10.1158/2767-9764.CRC-24-0243,https://europepmc.org/search?query=DOI:10.1158/2767-9764.CRC-24-0243,https://pubmed.ncbi.nlm.nih.gov/?term=10.1158/2767-9764.CRC-24-0243,https://scholar.google.com/scholar?q=10.1158/2767-9764.CRC-24-0243
15,10.1158/2159-8290.CD-13-0219,https://doi.org/10.1158/2159-8290.CD-13-0219,https://europepmc.org/search?query=DOI:10.1158/2159-8290.CD-13-0219,https://pubmed.ncbi.nlm.nih.gov/?term=10.1158/2159-8290.CD-13-0219,https://scholar.google.com/scholar?q=10.1158/2159-8290.CD-13-0219
16,10.1038/nature13438,https://doi.org/10.1038/nature13438,https://europepmc.org/search?query=DOI:10.1038/nature13438,https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/nature13438,https://scholar.google.com/scholar?q=10.1038/nature13438
17,10.1038/nature18003,https://doi.org/10.1038/nature18003,https://europepmc.org/search?query=DOI:10.1038/nature18003,https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/nature18003,https://scholar.google.com/scholar?q=10.1038/nature18003
18,10.1016/j.cell.2020.10.036,https://doi.org/10.1016/j.cell.2020.10.036,https://europepmc.org/search?query=DOI:10.1016/j.cell.2020.10.036,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2020.10.036,https://scholar.google.com/scholar?q=10.1016/j.cell.2020.10.036
19,10.1016/j.cell.2019.10.007,https://doi.org/10.1016/j.cell.2019.10.007,https://europepmc.org/search?query=DOI:10.1016/j.cell.2019.10.007,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2019.10.007,https://scholar.google.com/scholar?q=10.1016/j.cell.2019.10.007
20,10.1016/j.cell.2019.03.030,https://doi.org/10.1016/j.cell.2019.03.030,https://europepmc.org/search?query=DOI:10.1016/j.cell.2019.03.030,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2019.03.030,https://scholar.google.com/scholar?q=10.1016/j.cell.2019.03.030
21,10.1016/j.cell.2020.01.026,https://doi.org/10.1016/j.cell.2020.01.026,https://europepmc.org/search?query=DOI:10.1016/j.cell.2020.01.026,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2020.01.026,https://scholar.google.com/scholar?q=10.1016/j.cell.2020.01.026
22,10.1016/j.cell.2020.06.013,https://doi.org/10.1016/j.cell.2020.06.013,https://europepmc.org/search?query=DOI:10.1016/j.cell.2020.06.013,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2020.06.013,https://scholar.google.com/scholar?q=10.1016/j.cell.2020.06.013
23,10.1016/j.cell.2021.07.016,https://doi.org/10.1016/j.cell.2021.07.016,https://europepmc.org/search?query=DOI:10.1016/j.cell.2021.07.016,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2021.07.016,https://scholar.google.com/scholar?q=10.1016/j.cell.2021.07.016
24,10.1016/j.ccell.2020.12.007,https://doi.org/10.1016/j.ccell.2020.12.007,https://europepmc.org/search?query=DOI:10.1016/j.ccell.2020.12.007,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.ccell.2020.12.007,https://scholar.google.com/scholar?q=10.1016/j.ccell.2020.12.007
25,10.1016/j.ccell.2021.01.006,https://doi.org/10.1016/j.ccell.2021.01.006,https://europepmc.org/search?query=DOI:10.1016/j.ccell.2021.01.006,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.ccell.2021.01.006,https://scholar.google.com/scholar?q=10.1016/j.ccell.2021.01.006
26,10.1016/j.cell.2021.08.023,https://doi.org/10.1016/j.cell.2021.08.023,https://europepmc.org/search?query=DOI:10.1016/j.cell.2021.08.023,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2021.08.023,https://scholar.google.com/scholar?q=10.1016/j.cell.2021.08.023
27,10.1016/j.ccell.2023.06.009,https://doi.org/10.1016/j.ccell.2023.06.009,https://europepmc.org/search?query=DOI:10.1016/j.ccell.2023.06.009,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.ccell.2023.06.009,https://scholar.google.com/scholar?q=10.1016/j.ccell.2023.06.009
28,10.1021/pr501254j,https://doi.org/10.1021/pr501254j,https://europepmc.org/search?query=DOI:10.1021/pr501254j,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/pr501254j,https://scholar.google.com/scholar?q=10.1021/pr501254j
29,10.1016/j.cell.2018.03.022,https://doi.org/10.1016/j.cell.2018.03.022,https://europepmc.org/search?query=DOI:10.1016/j.cell.2018.03.022,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2018.03.022,https://scholar.google.com/scholar?q=10.1016/j.cell.2018.03.022
30,10.1016/j.cell.2020.08.036,https://doi.org/10.1016/j.cell.2020.08.036,https://europepmc.org/search?query=DOI:10.1016/j.cell.2020.08.036,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2020.08.036,https://scholar.google.com/scholar?q=10.1016/j.cell.2020.08.036
31,10.1126/science.aaz1776,https://doi.org/10.1126/science.aaz1776,https://europepmc.org/search?query=DOI:10.1126/science.aaz1776,https://pubmed.ncbi.nlm.nih.gov/?term=10.1126/science.aaz1776,https://scholar.google.com/scholar?q=10.1126/science.aaz1776
32,10.1016/j.cell.2019.12.023,https://doi.org/10.1016/j.cell.2019.12.023,https://europepmc.org/search?query=DOI:10.1016/j.cell.2019.12.023,https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.cell.2019.12.023,https://scholar.google.com/scholar?q=10.1016/j.cell.2019.12.023
33,10.1038/s41586-019-1186-3,https://doi.org/10.1038/s41586-019-1186-3,https://europepmc.org/search?query=DOI:10.1038/s41586-019-1186-3,https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/s41586-019-1186-3,https://scholar.google.com/scholar?q=10.1038/s41586-019-1186-3
34,10.1002/mas.21860,https://doi.org/10.1002/mas.21860,https://europepmc.org/search?query=DOI:10.1002/mas.21860,https://pubmed.ncbi.nlm.nih.gov/?term=10.1002/mas.21860,https://scholar.google.com/scholar?q=10.1002/mas.21860
35,10.3390/proteomes14020016,https://doi.org/10.3390/proteomes14020016,https://europepmc.org/search?query=DOI:10.3390/proteomes14020016,https://pubmed.ncbi.nlm.nih.gov/?term=10.3390/proteomes14020016,https://scholar.google.com/scholar?q=10.3390/proteomes14020016
36,10.1038/s41597-021-00890-2,https://doi.org/10.1038/s41597-021-00890-2,https://europepmc.org/search?query=DOI:10.1038/s41597-021-00890-2,https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/s41597-021-00890-2,https://scholar.google.com/scholar?q=10.1038/s41597-021-00890-2
37,10.1371/journal.pcbi.1011828,https://doi.org/10.1371/journal.pcbi.1011828,https://europepmc.org/search?query=DOI:10.1371/journal.pcbi.1011828,https://pubmed.ncbi.nlm.nih.gov/?term=10.1371/journal.pcbi.1011828,https://scholar.google.com/scholar?q=10.1371/journal.pcbi.1011828
38,10.1021/acs.jproteome.4c00788,https://doi.org/10.1021/acs.jproteome.4c00788,https://europepmc.org/search?query=DOI:10.1021/acs.jproteome.4c00788,https://pubmed.ncbi.nlm.nih.gov/?term=10.1021/acs.jproteome.4c00788,https://scholar.google.com/scholar?q=10.1021/acs.jproteome.4c00788
